English,French,Spanish,Italian,Russian
adventurous,aventureux,aventurero,avventuroso,авантюрный
smooth,lisse,liso,liscio,гладкий
hard,dur,duro,difficile,жесткий
gentle,doux,amable,gentile,нежный
sour,aigre,agrio,acido,кислый
bitter,amer,amargo,amaro,горький
sweet,doux,dulce,dolce,сладкий
spicy,épicé,picante,speziato,острый
fragrant,parfumé,fragante,fragrante,ароматный
plan,plan,plan,piano,план
scheme,schème,esquema,schema,схема
schedule,calendrier,cronograma,programma,расписание
accomplish,accomplir,lograr,compiere,выполнить
complete,complet,completo,completare,полный
achieve,atteindre,lograr,raggiungere,достигать
succeed,réussir,tener éxito,avere successo,преуспевать
fail,échouer,fallar,fallire,неудача
attempt,tentative,intentar,tentativo,пытаться
strive,aspirer,esforzarse,sforzarsi,стремиться
struggle,lutte,lucha,lotta,борьба
survive,survivre,sobrevivir,sopravvivere,выживать
thrive,prospérer,prosperar,prosperare,процветать
flourish,fleurir,florecer,fiorire,процветать
adapt,adapter,adaptar,adattare,адаптироваться
change,changement,cambiar,modifica,изменять
transform,transformer,transformar,trasformare,трансформировать
evolve,évoluer,evolucionar,evolvere,эволюционировать
develop,développer,desarrollar,sviluppare,развивать
grow,grandir,crecer,crescere,расти
mature,mature,maduro,maturo,зрелый
regress,régresser,regreso,regredire,регресс
decline,déclin,rechazar,declino,отклонить
deteriorate,détériorer,deteriorarse,deteriorare,ухудшаться
decay,pourriture,decadencia,decadimento,разлагаться
improve,améliorer,mejorar,migliorare,улучшать
enhance,améliorer,mejorar,migliorare,усиливать
